Row Label,PrecinctCode,County,Registered Voters,Sam Meyer
Total,-1,TH,NULL,51006
Cougar Mountain,28,TH,NULL,47
Clear Lake,30,TH,NULL,340
Lackamas,31,TH,NULL,83
Morris,32,TH,NULL,235
Evergreen Ballroom,33,TH,NULL,284
Trails End,34,TH,NULL,399
Kaiser,35,TH,NULL,97
Rich,36,TH,NULL,159
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,127
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,90
Steamboat Island,44,TH,NULL,179
Rocky Prairie,45,TH,NULL,142
Lawrence Lake,46,TH,NULL,263
Woodard Creek,47,TH,NULL,180
Michigan Hill,48,TH,NULL,99
Scott Lake South,49,TH,NULL,174
Salmon Creek,50,TH,NULL,138
Spurgeon Creek,51,TH,NULL,95
James,52,TH,NULL,178
Vail,53,TH,NULL,257
Rochester 5,54,TH,NULL,225
Rochester 4,55,TH,NULL,159
Medicine Creek,57,TH,NULL,107
Skokomish,58,TH,NULL,180
Pleasant Hill,59,TH,NULL,231
Smith Prairie,60,TH,NULL,257
Black River,62,TH,NULL,308
Ames,63,TH,NULL,185
Airport,64,TH,NULL,17
Luhr Beach,65,TH,NULL,243
Fish Trap,66,TH,NULL,167
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,9
Simmons 4,70,TH,NULL,10
Pines,74,TH,NULL,177
Long Lake,75,TH,NULL,58
Hawk Acres,76,TH,NULL,137
Zenkner Valley,77,TH,NULL,51
Tri Lakes,78,TH,NULL,122
University South,79,TH,NULL,123
Tolmie,80,TH,NULL,95
Military,81,TH,NULL,87
Glen Terra,82,TH,NULL,77
Prine,83,TH,NULL,48
Glenwood,84,TH,NULL,82
Greenridge,86,TH,NULL,148
Woodland,88,TH,NULL,199
Tilley,89,TH,NULL,263
Sweet Briar,90,TH,NULL,294
Deerbrush,91,TH,NULL,255
Mushroom Corner,92,TH,NULL,227
Trailblazer,93,TH,NULL,88
Frye Cove,94,TH,NULL,227
Oyster Bay,95,TH,NULL,227
Summit Lake,96,TH,NULL,182
Delridge,97,TH,NULL,64
Marvin,98,TH,NULL,262
Alpine,99,TH,NULL,353
Hewitt Lake,100,TH,NULL,279
Zangle,101,TH,NULL,188
Boston Harbor,102,TH,NULL,257
Gull Harbor,103,TH,NULL,140
Friendly Grove,104,TH,NULL,113
South Bay,105,TH,NULL,261
Puget,106,TH,NULL,269
Bigelow,107,TH,NULL,184
Pleasant Glade,109,TH,NULL,131
Montgomery,110,TH,NULL,120
Nisqually,111,TH,NULL,176
Roosevelt,112,TH,NULL,255
Kinwood,113,TH,NULL,189
Mckinley,114,TH,NULL,73
Forest,115,TH,NULL,307
St Clair,116,TH,NULL,207
Hicks,117,TH,NULL,35
Fleetwood,118,TH,NULL,296
Lydia Hawk,119,TH,NULL,376
Hays,120,TH,NULL,165
Indian Summer,121,TH,NULL,261
Chambers,122,TH,NULL,347
Freedom,123,TH,NULL,280
Fristoe,124,TH,NULL,158
Deschutes,125,TH,NULL,240
Longmire,126,TH,NULL,148
Ruth Prairie,127,TH,NULL,104
Weir Prairie,128,TH,NULL,208
College,129,TH,NULL,34
Bald Hills,130,TH,NULL,55
Hunter Point,131,TH,NULL,133
Griffin,132,TH,NULL,203
Schneiders Prairie,133,TH,NULL,169
Cooper Point,134,TH,NULL,207
Butler Cove,135,TH,NULL,216
Broadway,136,TH,NULL,278
Plainview,139,TH,NULL,318
Mud Bay,140,TH,NULL,203
Mclane,141,TH,NULL,161
Bush Prairie,143,TH,NULL,55
Black Lake,144,TH,NULL,277
Delphi,145,TH,NULL,207
South Union,146,TH,NULL,267
Plumb,147,TH,NULL,240
Scatter Creek,148,TH,NULL,161
Mcintosh,149,TH,NULL,360
Violet Prairie,150,TH,NULL,243
Littlerock,151,TH,NULL,337
Rochester 1,153,TH,NULL,271
Rochester 2,154,TH,NULL,205
Scott Lake North,155,TH,NULL,96
Grand Mound,156,TH,NULL,109
Gibson Valley,157,TH,NULL,27
Skookumchuck,158,TH,NULL,216
Johnson Point,160,TH,NULL,267
Wards,161,TH,NULL,98
Thompson,162,TH,NULL,145
Smith Lake,163,TH,NULL,216
Evergreen Shores,164,TH,NULL,186
Sunwood Lakes,165,TH,NULL,333
Eaton Creek,166,TH,NULL,133
Hawks Ridge,167,TH,NULL,104
Holmes,168,TH,NULL,192
Mcallister Creek,169,TH,NULL,196
Rochester 3,170,TH,NULL,220
Waddell Creek,171,TH,NULL,172
Tykle Cove,172,TH,NULL,211
Camelot,173,TH,NULL,143
French,174,TH,NULL,220
Sunset Beach,175,TH,NULL,253
Henderson,176,TH,NULL,298
Pattison,178,TH,NULL,226
Four Corners,179,TH,NULL,316
Stedman,180,TH,NULL,131
Munn Lake,182,TH,NULL,127
Beach Crest,183,TH,NULL,179
Scheller,184,TH,NULL,95
Fair Oaks,185,TH,NULL,147
Wilderness,186,TH,NULL,297
Mullen,187,TH,NULL,261
Sleater Kinney,189,TH,NULL,193
Lakeside,190,TH,NULL,116
Gallagher Cove,191,TH,NULL,319
East Olympia,192,TH,NULL,202
Berry Valley,193,TH,NULL,174
Hartwood,194,TH,NULL,367
Libby,195,TH,NULL,174
Meadows,196,TH,NULL,172
Summerset,197,TH,NULL,334
Henness,198,TH,NULL,318
Beaver Creek,199,TH,NULL,390
Olympia 01,201,TH,NULL,189
Olympia 02,202,TH,NULL,201
Olympia 03,203,TH,NULL,203
Olympia 04,204,TH,NULL,199
Olympia 05,205,TH,NULL,180
Olympia 06,206,TH,NULL,314
Olympia 07,207,TH,NULL,112
Olympia 08,208,TH,NULL,191
Olympia 09,209,TH,NULL,371
Olympia 10,210,TH,NULL,215
Olympia 11,211,TH,NULL,173
Olympia 12,212,TH,NULL,120
Olympia 13,213,TH,NULL,201
Olympia 14,214,TH,NULL,193
Olympia 15,215,TH,NULL,136
Olympia 16,216,TH,NULL,42
Olympia 17,217,TH,NULL,154
Olympia 18,218,TH,NULL,182
Olympia 19,219,TH,NULL,177
Olympia 20,220,TH,NULL,99
Olympia 21,221,TH,NULL,287
Olympia 23,223,TH,NULL,220
Olympia 24,224,TH,NULL,195
Olympia 25,225,TH,NULL,164
Olympia 26,226,TH,NULL,154
Olympia 27,227,TH,NULL,103
Olympia 28,228,TH,NULL,185
Olympia 29,229,TH,NULL,226
Olympia 30,230,TH,NULL,166
Olympia 31,231,TH,NULL,161
Olympia 32,232,TH,NULL,266
Olympia 35,235,TH,NULL,389
Olympia 36,236,TH,NULL,79
Olympia 37,237,TH,NULL,138
Olympia 38,238,TH,NULL,59
Olympia 39,239,TH,NULL,196
Olympia 40,240,TH,NULL,178
Olympia 41,241,TH,NULL,186
Olympia 42,242,TH,NULL,131
Olympia 43,243,TH,NULL,213
Olympia 44,244,TH,NULL,99
Olympia 45,245,TH,NULL,132
Olympia 46,246,TH,NULL,197
Olympia 47,247,TH,NULL,241
Olympia 48,248,TH,NULL,250
Olympia 49,249,TH,NULL,199
Olympia 50,250,TH,NULL,165
Olympia 51,251,TH,NULL,47
Olympia 52,252,TH,NULL,105
Olympia 53,253,TH,NULL,195
Olympia 54,254,TH,NULL,125
Olympia 55,255,TH,NULL,112
Olympia 56,256,TH,NULL,192
Olympia 57,257,TH,NULL,95
Olympia 58,258,TH,NULL,211
Olympia 59,259,TH,NULL,177
Olympia 60,260,TH,NULL,132
Lacey 01,301,TH,NULL,83
Lacey 02,302,TH,NULL,147
Lacey 03,303,TH,NULL,174
Lacey 04,304,TH,NULL,107
Lacey 05,305,TH,NULL,128
Lacey 06,306,TH,NULL,82
Lacey 07,307,TH,NULL,168
Lacey 08,308,TH,NULL,127
Lacey 09,309,TH,NULL,111
Lacey 10,310,TH,NULL,260
Lacey 11,311,TH,NULL,204
Lacey 13,313,TH,NULL,108
Lacey 14,314,TH,NULL,77
Lacey 15,315,TH,NULL,190
Lacey 16,316,TH,NULL,196
Lacey 17,317,TH,NULL,203
Lacey 18,318,TH,NULL,232
Lacey 19,319,TH,NULL,136
Lacey 20,320,TH,NULL,88
Lacey 21,321,TH,NULL,108
Lacey 22,322,TH,NULL,137
Lacey 23,323,TH,NULL,88
Lacey 24,324,TH,NULL,284
Lacey 27,327,TH,NULL,186
Lacey 28,328,TH,NULL,121
Lacey 29,329,TH,NULL,253
Lacey 30,330,TH,NULL,292
Lacey 31,331,TH,NULL,166
Lacey 32,332,TH,NULL,220
Lacey 33,333,TH,NULL,106
Lacey 34,334,TH,NULL,132
Lacey 35,335,TH,NULL,75
Lacey 36,336,TH,NULL,131
Lacey 37,337,TH,NULL,66
Lacey 39,339,TH,NULL,335
Lacey 40,340,TH,NULL,266
Lacey 41,341,TH,NULL,188
Lacey 42,342,TH,NULL,69
Lacey 43,343,TH,NULL,254
Lacey 44,344,TH,NULL,95
Lacey 45,345,TH,NULL,104
Lacey 46,346,TH,NULL,461
Lacey 47,347,TH,NULL,339
Lacey 48,348,TH,NULL,141
Lacey 49,349,TH,NULL,119
Tumwater 01,401,TH,NULL,152
Tumwater 02,402,TH,NULL,201
Tumwater 03,403,TH,NULL,241
Tumwater 04,404,TH,NULL,146
Tumwater 05,405,TH,NULL,153
Tumwater 06,406,TH,NULL,349
Tumwater 07,407,TH,NULL,164
Tumwater 08,408,TH,NULL,228
Tumwater 09,409,TH,NULL,145
Tumwater 10,410,TH,NULL,282
Tumwater 11,411,TH,NULL,288
Tumwater 12,412,TH,NULL,202
Tumwater 13,413,TH,NULL,89
Tumwater 14,414,TH,NULL,100
Tumwater 15,415,TH,NULL,248
Tumwater 24,424,TH,NULL,147
Tumwater 27,427,TH,NULL,211
Tumwater 28,428,TH,NULL,284
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,132
Tenino 02,502,TH,NULL,143
Rainier 01,601,TH,NULL,157
Rainier 02,602,TH,NULL,126
Yelm 1,701,TH,NULL,194
Yelm 2,702,TH,NULL,208
Yelm 3,703,TH,NULL,249
Yelm 4,704,TH,NULL,228
Bucoda,801,TH,NULL,97
