Row Label,PrecinctCode,County,Registered Voters,Edward E. Wolfe,Linda Streissguth
Total,-1,KP,NULL,41263,39998
BREMERTON 001,100001,KP,NULL,91,153
BREMERTON 002,100002,KP,NULL,85,110
BREMERTON 003,100003,KP,NULL,191,204
BREMERTON 005,100005,KP,NULL,102,176
BREMERTON 006,100006,KP,NULL,99,169
BREMERTON 007,100007,KP,NULL,6,4
BREMERTON 012,100012,KP,NULL,45,57
BREMERTON 013,100013,KP,NULL,155,218
BREMERTON 015,100015,KP,NULL,215,227
BREMERTON 016,100016,KP,NULL,35,69
BREMERTON 022,100022,KP,NULL,143,172
BREMERTON 029,100029,KP,NULL,175,212
BREMERTON 030,100030,KP,NULL,201,189
BREMERTON 031,100031,KP,NULL,108,114
BREMERTON 032,100032,KP,NULL,21,39
BREMERTON 037,100037,KP,NULL,324,240
BREMERTON 040,100040,KP,NULL,167,241
BREMERTON 041,100041,KP,NULL,160,191
BREMERTON 046,100046,KP,NULL,198,224
BREMERTON 051,100051,KP,NULL,26,17
BREMERTON 052,100052,KP,NULL,142,153
BREMERTON 053,100053,KP,NULL,270,287
BREMERTON 054,100054,KP,NULL,116,130
BREMERTON 056,100056,KP,NULL,191,183
BREMERTON 058,100058,KP,NULL,196,249
ILLAHEE 065,100065,KP,NULL,303,242
SYLVAN 066,100066,KP,NULL,196,266
RAINIER 067,100067,KP,NULL,299,229
PERRY 073,100073,KP,NULL,143,142
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,328,277
RIDGEWAY 084,100084,KP,NULL,89,44
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,67,66
BREMERTON 088,100088,KP,NULL,37,36
MARION 090,100090,KP,NULL,44,43
NAVY YARD CITY 095,100095,KP,NULL,223,210
OLYMPIC 099,100099,KP,NULL,30,29
TRIDENT 101,100101,KP,NULL,74,30
FRONTIER 102,100102,KP,NULL,359,200
OLYMPIC VIEW 103,100103,KP,NULL,247,151
BROWNSVILLE 105,100105,KP,NULL,395,263
OLD FRONTIER 106,100106,KP,NULL,373,203
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,19,20
CHARLAND 110,100110,KP,NULL,218,145
ALPINE 111,100111,KP,NULL,245,156
HERITAGE PARK 112,100112,KP,NULL,209,159
COUNTRY CLUB 113,100113,KP,NULL,157,120
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,268,183
BUCKLIN 121,100121,KP,NULL,298,227
LUOTO 122,100122,KP,NULL,177,96
COTTONWOOD 125,100125,KP,NULL,232,184
FOREST RIDGE 126,100126,KP,NULL,161,129
WOODMERE 127,100127,KP,NULL,306,254
CENTRAL VALLEY 128,100128,KP,NULL,292,233
WINSTON 129,100129,KP,NULL,125,91
ERLANDS POINT 130,100130,KP,NULL,187,158
REGAL 131,100131,KP,NULL,74,54
FAIRVIEW 135,100135,KP,NULL,176,117
FIRGLADE 137,100137,KP,NULL,198,116
TIBARDIS 139,100139,KP,NULL,122,97
GILBERTON 140,100140,KP,NULL,225,182
RIDGEPOINT 141,100141,KP,NULL,212,151
UNIVERSITY POINT 142,100142,KP,NULL,192,141
KARIOTIS 143,100143,KP,NULL,255,224
CAMBRIDGE 144,100144,KP,NULL,190,122
SPINNAKER 146,100146,KP,NULL,170,158
BARKER CREEK 147,100147,KP,NULL,312,257
SANTA FE 148,100148,KP,NULL,230,169
RIDGETOP 149,100149,KP,NULL,215,146
MEADOWDALE 150,100150,KP,NULL,224,138
SYMINGTON 151,100151,KP,NULL,165,105
PIONEER 152,100152,KP,NULL,358,253
LARSON 153,100153,KP,NULL,360,225
SEABECK 155,100155,KP,NULL,458,250
LOST HIGHWAY 157,100157,KP,NULL,335,182
HOLLY 158,100158,KP,NULL,77,57
BREMERTON 159,100159,KP,NULL,136,127
SILVERDALE 160,100160,KP,NULL,279,220
MORKEN 161,100161,KP,NULL,390,272
APEX 162,100162,KP,NULL,387,199
ANDERSON CREEK 163,100163,KP,NULL,271,157
EAGLE CREST 164,100164,KP,NULL,332,235
SUTTON 165,100165,KP,NULL,175,136
TRACYTON 170,100170,KP,NULL,190,156
VENA 173,100173,KP,NULL,205,213
FUSON 175,100175,KP,NULL,245,186
PORT ORCHARD 200,100200,KP,NULL,117,110
PORT ORCHARD 201,100201,KP,NULL,195,215
PORT ORCHARD 202,100202,KP,NULL,276,235
PORT ORCHARD 203,100203,KP,NULL,127,108
PORT ORCHARD 204,100204,KP,NULL,204,200
PORT ORCHARD 205,100205,KP,NULL,570,396
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,242,188
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,190,122
CEDAR 211,100211,KP,NULL,235,201
ANNAPOLIS 212,100212,KP,NULL,336,298
BRASCH 213,100213,KP,NULL,327,187
LAKE HELENA 214,100214,KP,NULL,272,160
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,150,86
SPRING CREEK 217,100217,KP,NULL,214,147
BURLEY 218,100218,KP,NULL,304,238
HUNTER 219,100219,KP,NULL,274,136
ALASKA 221,100221,KP,NULL,309,296
WOODRIDGE 222,100222,KP,NULL,185,101
NEBRASKA 223,100223,KP,NULL,270,180
WHISPERING PINES 227,100227,KP,NULL,328,175
FERNWOOD 230,100230,KP,NULL,369,215
GLENWOOD 232,100232,KP,NULL,422,209
HARPER 240,100240,KP,NULL,215,245
YUKON 241,100241,KP,NULL,201,181
WILSON CREEK 242,100242,KP,NULL,241,197
LONG LAKE 245,100245,KP,NULL,209,131
LOCKER 246,100246,KP,NULL,374,280
EBBERT 247,100247,KP,NULL,318,209
LUNDBERG 250,100250,KP,NULL,273,213
CONVERSE 252,100252,KP,NULL,245,176
MANCHESTER 255,100255,KP,NULL,221,185
EVERGREEN 257,100257,KP,NULL,374,301
WILLOCK 258,100258,KP,NULL,261,173
FRAGARIA 259,100259,KP,NULL,257,201
MULLENIX 260,100260,KP,NULL,323,238
BANDIX 263,100263,KP,NULL,353,211
OLALLA 265,100265,KP,NULL,219,172
CRESCENT VALLEY 266,100266,KP,NULL,293,218
OVERLOOK 267,100267,KP,NULL,166,225
MADRONA 269,100269,KP,NULL,188,154
PARKWOOD 270,100270,KP,NULL,281,253
CONIFER 271,100271,KP,NULL,142,120
SEDGWICK 272,100272,KP,NULL,308,221
SINCLAIR 275,100275,KP,NULL,144,108
SHERMAN HEIGHTS 278,100278,KP,NULL,8,8
BERRY LAKE 279,100279,KP,NULL,178,142
BELFAIR VALLEY 280,100280,KP,NULL,112,61
SUNNYSLOPE 281,100281,KP,NULL,247,151
DICKENSON 282,100282,KP,NULL,305,175
DRIVE-IN 283,100283,KP,NULL,8,4
TWIN LAKES 285,100285,KP,NULL,94,50
LIGHTHOUSE POINT 292,100292,KP,NULL,311,213
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,189,140
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,150,582
AZALEA 302,100302,KP,NULL,143,461
WINSLOW 304,100304,KP,NULL,187,664
WING POINT 305,100305,KP,NULL,152,272
BLAKELY 310,100310,KP,NULL,124,344
CRYSTAL SPRINGS 312,100312,KP,NULL,209,502
FINCH 314,100314,KP,NULL,116,283
FERNCLIFF 315,100315,KP,NULL,182,517
EAGLE HARBOR 317,100317,KP,NULL,87,298
FORT WARD 318,100318,KP,NULL,152,380
ISLAND CENTER 320,100320,KP,NULL,142,326
MEADOWMEER 321,100321,KP,NULL,62,170
NEW BROOKLYN 322,100322,KP,NULL,88,237
LIBERTY 325,100325,KP,NULL,131,323
SKIFF POINT 328,100328,KP,NULL,110,325
ROLLING BAY 330,100330,KP,NULL,153,369
LOVGREN 332,100332,KP,NULL,98,210
TOLO 333,100333,KP,NULL,139,316
SEABOLD 335,100335,KP,NULL,190,415
MANZANITA 336,100336,KP,NULL,95,270
PORT MADISON 340,100340,KP,NULL,137,264
TORVANGER 345,100345,KP,NULL,176,460
POULSBO 401,100401,KP,NULL,328,301
POULSBO 403,100403,KP,NULL,221,225
POULSBO 404,100404,KP,NULL,277,277
POULSBO 405,100405,KP,NULL,213,305
POULSBO 406,100406,KP,NULL,306,310
POULSBO 407,100407,KP,NULL,211,212
BREIDABLIK 410,100410,KP,NULL,248,253
VINLAND 412,100412,KP,NULL,329,254
BELLA VISTA 413,100413,KP,NULL,220,195
HANSVILLE 415,100415,KP,NULL,196,154
POINT NO POINT 416,100416,KP,NULL,352,422
TWIN SPITS 417,100417,KP,NULL,281,320
S&#39;KLALLAM 418,100418,KP,NULL,5,38
POINT JEFFERSON 419,100419,KP,NULL,202,218
INDIANOLA 420,100420,KP,NULL,189,464
ORCA 421,100421,KP,NULL,155,205
APPLE TREE 422,100422,KP,NULL,254,304
HIGHLAND 423,100423,KP,NULL,160,146
KEYPORT 425,100425,KP,NULL,350,242
EVERGREEN RIDGE 426,100426,KP,NULL,120,77
ISLAND LAKE 427,100427,KP,NULL,270,181
KINGSTON 430,100430,KP,NULL,333,403
LEMOLO 435,100435,KP,NULL,217,209
LINCOLN 440,100440,KP,NULL,255,191
BIG VALLEY 441,100441,KP,NULL,212,170
LOFALL 442,100442,KP,NULL,378,325
PEARSON 445,100445,KP,NULL,402,272
PORT GAMBLE 450,100450,KP,NULL,245,249
STRIEBEL 453,100453,KP,NULL,259,264
GAMBLEWOOD 454,100454,KP,NULL,176,164
SCANDIA 455,100455,KP,NULL,322,202
MILLER BAY 458,100458,KP,NULL,312,311
SUQUAMISH 460,100460,KP,NULL,108,268
AUGUSTA 461,100461,KP,NULL,102,196
TOTTEN 463,100463,KP,NULL,145,255
SANDY HOOK 464,100464,KP,NULL,166,197
